cp_eval,white_elo,black_elo,ply,phase,time_control,tc_bucket,clock_remaining,white_clock,black_clock,side_to_move,result,game_id
391.1,1865,1914,15,opening,600+0,rapid,,,,white,1.0,synthetic-00026
-72.8,2448,2525,20,opening,600+0,rapid,,,,white,0.5,synthetic-00027
190.3,2270,2339,15,opening,600+0,rapid,,,,white,1.0,synthetic-00028
92.5,1670,1743,58,middlegame,600+0,rapid,,,,white,1.0,synthetic-00029
-55.1,1148,1170,29,middlegame,600+0,rapid,,,,white,0.0,synthetic-00030
-474.1,2032,2080,28,middlegame,600+0,rapid,,,,white,0.0,synthetic-00031
-1.5,2309,2334,30,middlegame,600+0,rapid,,,,white,0.5,synthetic-00032
337.0,838,809,73,endgame,600+0,rapid,,,,white,0.0,synthetic-00033
-280.0,2463,2440,9,opening,600+0,rapid,,,,white,0.0,synthetic-00034
235.7,1591,1658,77,endgame,600+0,rapid,,,,white,0.5,synthetic-00035
222.9,1285,1326,53,middlegame,600+0,rapid,,,,white,1.0,synthetic-00036
-67.6,1894,1831,24,middlegame,600+0,rapid,,,,white,0.0,synthetic-00037
-311.5,2079,2097,32,middlegame,600+0,rapid,,,,white,1.0,synthetic-00038
185.8,2030,2085,65,endgame,600+0,rapid,,,,white,1.0,synthetic-00039
-235.3,1512,1452,80,endgame,600+0,rapid,,,,white,0.0,synthetic-00040
-107.4,1566,1540,65,endgame,600+0,rapid,,,,white,1.0,synthetic-00041
-490.7,931,899,8,opening,600+0,rapid,,,,white,0.0,synthetic-00042
171.9,2391,2391,67,endgame,600+0,rapid,,,,white,1.0,synthetic-00043
255.5,916,864,18,opening,600+0,rapid,,,,white,0.5,synthetic-00044
-41.8,2278,2337,61,endgame,600+0,rapid,,,,white,1.0,synthetic-00045
-3.5,1346,1392,75,endgame,600+0,rapid,,,,white,0.0,synthetic-00046
-16.8,1877,1926,33,middlegame,600+0,rapid,,,,white,0.5,synthetic-00047
113.8,2355,2390,58,middlegame,600+0,rapid,,,,white,0.0,synthetic-00048
-15.5,1891,1968,22,middlegame,600+0,rapid,,,,white,0.0,synthetic-00049
-359.5,2321,2380,27,middlegame,600+0,rapid,,,,white,0.0,synthetic-00050
-47.4,1263,1340,41,middlegame,600+0,rapid,,,,white,1.0,synthetic-00051
507.9,1841,1769,71,endgame,600+0,rapid,,,,white,1.0,synthetic-00052
-206.9,2114,2050,55,middlegame,600+0,rapid,,,,white,0.0,synthetic-00053
-147.2,2343,2394,42,middlegame,600+0,rapid,,,,white,0.5,synthetic-00054
146.1,1423,1377,51,middlegame,600+0,rapid,,,,white,0.5,synthetic-00055
-17.5,2166,2240,54,middlegame,600+0,rapid,,,,white,0.5,synthetic-00056
141.1,1515,1507,69,endgame,600+0,rapid,,,,white,1.0,synthetic-00057
-175.4,2150,2080,46,middlegame,600+0,rapid,,,,white,0.0,synthetic-00058
460.8,1512,1539,20,opening,600+0,rapid,,,,white,1.0,synthetic-00059
-232.6,1808,1811,23,middlegame,600+0,rapid,,,,white,0.0,synthetic-00060
381.8,1678,1646,46,middlegame,600+0,rapid,,,,white,1.0,synthetic-00061
84.3,1418,1388,19,opening,600+0,rapid,,,,white,0.5,synthetic-00062
125.2,885,952,15,opening,600+0,rapid,,,,white,0.0,synthetic-00063
-193.9,1461,1525,35,middlegame,600+0,rapid,,,,white,0.0,synthetic-00064
-71.9,1551,1572,41,middlegame,600+0,rapid,,,,white,0.0,synthetic-00065
44.1,1827,1880,11,opening,600+0,rapid,,,,white,0.0,synthetic-00066
115.5,2422,2429,23,middlegame,600+0,rapid,,,,white,0.5,synthetic-00067
-539.7,1675,1714,26,middlegame,600+0,rapid,,,,white,0.0,synthetic-00068
-660.7,985,992,27,middlegame,600+0,rapid,,,,white,0.0,synthetic-00069
-321.2,996,981,62,endgame,600+0,rapid,,,,white,0.0,synthetic-00070
24.5,2379,2380,49,middlegame,600+0,rapid,,,,white,0.0,synthetic-00071
-336.8,2340,2261,36,middlegame,600+0,rapid,,,,white,0.0,synthetic-00072
-382.3,834,801,48,middlegame,600+0,rapid,,,,white,0.0,synthetic-00073
114.8,2235,2310,56,middlegame,600+0,rapid,,,,white,0.5,synthetic-00074
154.7,1867,1832,16,opening,600+0,rapid,,,,white,0.5,synthetic-00075
79.9,2241,2239,46,middlegame,600+0,rapid,,,,white,1.0,synthetic-00076
-46.9,855,800,28,middlegame,600+0,rapid,,,,white,0.5,synthetic-00077
-233.6,2271,2212,75,endgame,600+0,rapid,,,,white,0.0,synthetic-00078
58.8,1710,1698,74,endgame,600+0,rapid,,,,white,0.5,synthetic-00079
-10.4,2203,2125,76,endgame,600+0,rapid,,,,white,1.0,synthetic-00080
-543.3,2415,2429,57,middlegame,600+0,rapid,,,,white,0.0,synthetic-00081
33.6,1872,1915,31,middlegame,600+0,rapid,,,,white,0.0,synthetic-00082
-38.2,1350,1339,71,endgame,600+0,rapid,,,,white,0.5,synthetic-00083
-83.4,2383,2312,15,opening,600+0,rapid,,,,white,0.0,synthetic-00084
242.1,1130,1060,50,middlegame,600+0,rapid,,,,white,1.0,synthetic-00085
-253.0,863,937,18,opening,600+0,rapid,,,,white,0.0,synthetic-00086
143.5,1984,2040,60,endgame,600+0,rapid,,,,white,0.0,synthetic-00087
-111.8,861,866,10,opening,600+0,rapid,,,,white,0.0,synthetic-00088
29.5,868,849,21,middlegame,600+0,rapid,,,,white,0.5,synthetic-00089
148.2,2072,2048,22,middlegame,600+0,rapid,,,,white,0.5,synthetic-00090
411.4,2395,2377,51,middlegame,600+0,rapid,,,,white,1.0,synthetic-00091
-47.5,2008,1933,57,middlegame,600+0,rapid,,,,white,0.0,synthetic-00092
-204.2,2272,2205,23,middlegame,600+0,rapid,,,,white,0.0,synthetic-00093
162.9,1757,1711,32,middlegame,600+0,rapid,,,,white,1.0,synthetic-00094
404.9,1643,1597,13,opening,600+0,rapid,,,,white,1.0,synthetic-00095
-2.0,2387,2460,80,endgame,600+0,rapid,,,,white,0.5,synthetic-00096
58.1,1807,1852,72,endgame,600+0,rapid,,,,white,1.0,synthetic-00097
-41.8,2051,2064,80,endgame,600+0,rapid,,,,white,0.5,synthetic-00098
115.3,1526,1593,16,opening,600+0,rapid,,,,white,1.0,synthetic-00099
-6.2,1000,957,61,endgame,600+0,rapid,,,,white,0.5,synthetic-00100
-62.1,888,821,40,middlegame,600+0,rapid,,,,white,0.0,synthetic-00101
-38.7,907,976,9,opening,600+0,rapid,,,,white,0.5,synthetic-00102
47.2,2273,2316,26,middlegame,600+0,rapid,,,,white,1.0,synthetic-00103
-271.9,1151,1198,8,opening,600+0,rapid,,,,white,1.0,synthetic-00104
-523.6,1343,1313,37,middlegame,600+0,rapid,,,,white,0.0,synthetic-00105
174.8,2321,2372,24,middlegame,600+0,rapid,,,,white,0.0,synthetic-00106
149.1,827,874,45,middlegame,600+0,rapid,,,,white,1.0,synthetic-00107
-210.2,1364,1303,18,opening,600+0,rapid,,,,white,0.0,synthetic-00108
-73.0,991,978,26,middlegame,600+0,rapid,,,,white,1.0,synthetic-00109
-75.0,2527,2478,45,middlegame,600+0,rapid,,,,white,0.0,synthetic-00110
170.7,1483,1457,10,opening,600+0,rapid,,,,white,0.0,synthetic-00111
142.4,1525,1493,26,middlegame,600+0,rapid,,,,white,1.0,synthetic-00112
155.6,1848,1880,39,middlegame,600+0,rapid,,,,white,1.0,synthetic-00113
81.9,1590,1611,61,endgame,600+0,rapid,,,,white,1.0,synthetic-00114
-27.2,2564,2499,55,middlegame,600+0,rapid,,,,white,0.5,synthetic-00115
424.5,1326,1330,79,endgame,600+0,rapid,,,,white,1.0,synthetic-00116
-137.1,1862,1918,59,middlegame,600+0,rapid,,,,white,0.0,synthetic-00117
288.4,1127,1140,74,endgame,600+0,rapid,,,,white,1.0,synthetic-00118
563.7,1054,1060,69,endgame,600+0,rapid,,,,white,1.0,synthetic-00119
131.8,2143,2175,35,middlegame,600+0,rapid,,,,white,1.0,synthetic-00120
-239.1,1359,1316,77,endgame,600+0,rapid,,,,white,0.0,synthetic-00121
0.9,1890,1903,37,middlegame,600+0,rapid,,,,white,0.5,synthetic-00122
-110.2,1771,1786,10,opening,600+0,rapid,,,,white,0.0,synthetic-00123
186.3,1048,987,58,middlegame,600+0,rapid,,,,white,0.5,synthetic-00124
48.5,1620,1581,33,middlegame,600+0,rapid,,,,white,1.0,synthetic-00125
56.0,1835,1909,75,endgame,600+0,rapid,,,,white,1.0,synthetic-00126
-206.0,2378,2316,16,opening,600+0,rapid,,,,white,0.0,synthetic-00127
-324.1,1530,1564,76,endgame,600+0,rapid,,,,white,0.0,synthetic-00128
-40.6,1026,953,43,middlegame,600+0,rapid,,,,white,0.5,synthetic-00129
-100.8,1316,1336,56,middlegame,600+0,rapid,,,,white,0.0,synthetic-00130
-105.8,1520,1525,46,middlegame,600+0,rapid,,,,white,0.0,synthetic-00131
-245.0,1435,1439,48,middlegame,600+0,rapid,,,,white,0.0,synthetic-00132
144.7,1724,1650,26,middlegame,600+0,rapid,,,,white,1.0,synthetic-00133
-41.2,2106,2177,9,opening,600+0,rapid,,,,white,0.5,synthetic-00134
-39.2,2362,2285,18,opening,600+0,rapid,,,,white,0.0,synthetic-00135
-13.8,2055,2016,8,opening,600+0,rapid,,,,white,1.0,synthetic-00136
-24.8,2629,2570,37,middlegame,600+0,rapid,,,,white,0.0,synthetic-00137
96.3,1059,1047,57,middlegame,600+0,rapid,,,,white,0.5,synthetic-00138
248.7,1097,1109,63,endgame,600+0,rapid,,,,white,0.0,synthetic-00139
130.8,1101,1032,31,middlegame,600+0,rapid,,,,white,1.0,synthetic-00140
174.3,1623,1576,70,endgame,600+0,rapid,,,,white,1.0,synthetic-00141
196.7,1479,1524,14,opening,600+0,rapid,,,,white,1.0,synthetic-00142
559.5,2393,2468,31,middlegame,600+0,rapid,,,,white,1.0,synthetic-00143
-80.1,1474,1435,19,opening,600+0,rapid,,,,white,0.5,synthetic-00144
-163.5,2070,2068,53,middlegame,600+0,rapid,,,,white,0.5,synthetic-00145
-121.4,1505,1576,78,endgame,600+0,rapid,,,,white,0.0,synthetic-00146
-349.6,2508,2439,70,endgame,600+0,rapid,,,,white,0.0,synthetic-00147
-38.3,1257,1261,52,middlegame,600+0,rapid,,,,white,1.0,synthetic-00148
62.7,819,795,62,endgame,600+0,rapid,,,,white,1.0,synthetic-00149
-448.8,2063,1987,51,middlegame,600+0,rapid,,,,white,0.0,synthetic-00150
341.3,1903,1886,48,middlegame,600+0,rapid,,,,white,1.0,synthetic-00151
-27.5,1378,1385,55,middlegame,600+0,rapid,,,,white,1.0,synthetic-00152
53.9,974,915,33,middlegame,600+0,rapid,,,,white,1.0,synthetic-00153
-95.6,1271,1234,69,endgame,600+0,rapid,,,,white,0.5,synthetic-00154
286.0,1436,1402,78,endgame,600+0,rapid,,,,white,1.0,synthetic-00155
-12.4,927,933,71,endgame,600+0,rapid,,,,white,0.0,synthetic-00156
-77.0,1598,1659,20,opening,600+0,rapid,,,,white,1.0,synthetic-00157
129.4,2260,2315,62,endgame,600+0,rapid,,,,white,1.0,synthetic-00158
-115.2,1837,1775,31,middlegame,600+0,rapid,,,,white,0.5,synthetic-00159
108.8,1227,1272,63,endgame,600+0,rapid,,,,white,1.0,synthetic-00160
-170.4,1025,961,33,middlegame,600+0,rapid,,,,white,0.0,synthetic-00161
-277.3,2102,2058,42,middlegame,600+0,rapid,,,,white,0.0,synthetic-00162
-24.5,1187,1248,20,opening,600+0,rapid,,,,white,0.0,synthetic-00163
102.6,1104,1117,8,opening,600+0,rapid,,,,white,0.0,synthetic-00164
504.3,2137,2134,23,middlegame,600+0,rapid,,,,white,1.0,synthetic-00165
317.1,1474,1511,77,endgame,600+0,rapid,,,,white,1.0,synthetic-00166
-58.1,1967,2011,38,middlegame,600+0,rapid,,,,white,0.0,synthetic-00167
-112.8,901,932,29,middlegame,600+0,rapid,,,,white,0.5,synthetic-00168
213.7,1008,1086,54,middlegame,600+0,rapid,,,,white,1.0,synthetic-00169
171.9,1816,1892,73,endgame,600+0,rapid,,,,white,0.0,synthetic-00170
182.7,2555,2613,71,endgame,600+0,rapid,,,,white,1.0,synthetic-00171
92.4,1841,1809,57,middlegame,600+0,rapid,,,,white,0.0,synthetic-00172
395.4,1444,1429,21,middlegame,600+0,rapid,,,,white,1.0,synthetic-00173
-238.5,1871,1947,36,middlegame,600+0,rapid,,,,white,0.0,synthetic-00174
-164.6,1773,1827,69,endgame,600+0,rapid,,,,white,0.0,synthetic-00175
119.6,1799,1767,32,middlegame,600+0,rapid,,,,white,1.0,synthetic-00176
64.6,2302,2256,15,opening,600+0,rapid,,,,white,1.0,synthetic-00177
-3.5,1161,1190,36,middlegame,600+0,rapid,,,,white,0.0,synthetic-00178
-189.4,1282,1254,53,middlegame,600+0,rapid,,,,white,0.5,synthetic-00179
-159.4,1797,1868,15,opening,600+0,rapid,,,,white,0.0,synthetic-00180
-170.6,808,881,49,middlegame,600+0,rapid,,,,white,1.0,synthetic-00181
258.0,885,955,35,middlegame,600+0,rapid,,,,white,0.0,synthetic-00182
-45.7,1580,1637,50,middlegame,600+0,rapid,,,,white,0.5,synthetic-00183
-29.2,2133,2088,76,endgame,600+0,rapid,,,,white,0.0,synthetic-00184
18.9,1775,1738,67,endgame,600+0,rapid,,,,white,0.5,synthetic-00185
445.2,2172,2161,72,endgame,600+0,rapid,,,,white,1.0,synthetic-00186
431.9,1078,1019,26,middlegame,600+0,rapid,,,,white,1.0,synthetic-00187
73.5,922,964,29,middlegame,600+0,rapid,,,,white,0.0,synthetic-00188
-137.2,2164,2110,18,opening,600+0,rapid,,,,white,0.0,synthetic-00189
279.8,1598,1540,13,opening,600+0,rapid,,,,white,1.0,synthetic-00190
213.3,1279,1230,11,opening,600+0,rapid,,,,white,0.5,synthetic-00191
-235.5,1958,1895,66,endgame,600+0,rapid,,,,white,0.0,synthetic-00192
5.4,1214,1237,59,middlegame,600+0,rapid,,,,white,0.0,synthetic-00193
40.5,1432,1383,44,middlegame,600+0,rapid,,,,white,0.5,synthetic-00194
-14.8,1829,1753,78,endgame,600+0,rapid,,,,white,0.0,synthetic-00195
-384.4,1287,1257,71,endgame,600+0,rapid,,,,white,0.0,synthetic-00196
109.3,874,910,40,middlegame,600+0,rapid,,,,white,0.0,synthetic-00197
33.5,2032,2019,34,middlegame,600+0,rapid,,,,white,0.5,synthetic-00198
-204.1,2174,2171,40,middlegame,600+0,rapid,,,,white,0.0,synthetic-00199
-314.8,1181,1171,76,endgame,600+0,rapid,,,,white,0.0,synthetic-00200
577.3,2015,2038,27,middlegame,600+0,rapid,,,,white,1.0,synthetic-00201
459.5,1415,1375,52,middlegame,600+0,rapid,,,,white,1.0,synthetic-00202
26.3,1464,1444,59,middlegame,600+0,rapid,,,,white,1.0,synthetic-00203
137.7,1920,1842,24,middlegame,600+0,rapid,,,,white,1.0,synthetic-00204
0.9,1375,1454,40,middlegame,600+0,rapid,,,,white,0.0,synthetic-00205
-250.3,2120,2170,30,middlegame,600+0,rapid,,,,white,0.0,synthetic-00206
-79.4,1718,1788,22,middlegame,600+0,rapid,,,,white,0.0,synthetic-00207
-237.3,2506,2484,47,middlegame,600+0,rapid,,,,white,0.0,synthetic-00208
-66.4,1307,1319,43,middlegame,600+0,rapid,,,,white,0.0,synthetic-00209
-715.3,2506,2500,63,endgame,600+0,rapid,,,,white,0.0,synthetic-00210
-255.3,2252,2197,27,middlegame,600+0,rapid,,,,white,0.0,synthetic-00211
48.4,2228,2196,12,opening,600+0,rapid,,,,white,0.5,synthetic-00212
-241.3,1804,1818,37,middlegame,600+0,rapid,,,,white,0.0,synthetic-00213
145.9,2409,2431,53,middlegame,600+0,rapid,,,,white,1.0,synthetic-00214
-17.0,1930,1930,39,middlegame,600+0,rapid,,,,white,0.0,synthetic-00215
166.9,1808,1849,65,endgame,600+0,rapid,,,,white,1.0,synthetic-00216
386.7,1243,1209,20,opening,600+0,rapid,,,,white,0.5,synthetic-00217
508.6,2498,2551,42,middlegame,600+0,rapid,,,,white,1.0,synthetic-00218
-265.0,1285,1224,49,middlegame,600+0,rapid,,,,white,0.0,synthetic-00219
189.4,926,1001,57,middlegame,600+0,rapid,,,,white,0.5,synthetic-00220
13.1,1595,1573,12,opening,600+0,rapid,,,,white,0.5,synthetic-00221
-292.7,1837,1860,11,opening,600+0,rapid,,,,white,0.0,synthetic-00222
-135.0,1550,1483,18,opening,600+0,rapid,,,,white,1.0,synthetic-00223
162.6,1806,1831,77,endgame,600+0,rapid,,,,white,1.0,synthetic-00224
4.6,1633,1663,11,opening,600+0,rapid,,,,white,0.0,synthetic-00225
423.2,1399,1334,26,middlegame,600+0,rapid,,,,white,1.0,synthetic-00226
-41.9,1865,1880,15,opening,600+0,rapid,,,,white,0.5,synthetic-00227
330.8,1125,1062,13,opening,600+0,rapid,,,,white,0.5,synthetic-00228
-208.1,2115,2112,57,middlegame,600+0,rapid,,,,white,0.0,synthetic-00229
-89.2,2497,2522,41,middlegame,600+0,rapid,,,,white,0.0,synthetic-00230
-53.4,1144,1182,40,middlegame,600+0,rapid,,,,white,0.0,synthetic-00231
-528.2,2210,2207,65,endgame,600+0,rapid,,,,white,0.0,synthetic-00232
148.2,1758,1832,73,endgame,600+0,rapid,,,,white,1.0,synthetic-00233
39.8,881,840,66,endgame,600+0,rapid,,,,white,0.5,synthetic-00234
-87.8,1925,1875,50,middlegame,600+0,rapid,,,,white,0.0,synthetic-00235
11.6,2414,2472,74,endgame,600+0,rapid,,,,white,1.0,synthetic-00236
-85.0,1443,1393,62,endgame,600+0,rapid,,,,white,1.0,synthetic-00237
-125.1,1899,1888,23,middlegame,600+0,rapid,,,,white,0.5,synthetic-00238
209.1,1079,1011,24,middlegame,600+0,rapid,,,,white,1.0,synthetic-00239
90.1,865,804,47,middlegame,600+0,rapid,,,,white,1.0,synthetic-00240
242.2,2267,2201,29,middlegame,600+0,rapid,,,,white,1.0,synthetic-00241
73.6,1471,1417,40,middlegame,600+0,rapid,,,,white,1.0,synthetic-00242
38.9,2015,2005,60,endgame,600+0,rapid,,,,white,0.0,synthetic-00243
-54.2,1121,1129,20,opening,600+0,rapid,,,,white,1.0,synthetic-00244
608.1,1010,1034,9,opening,600+0,rapid,,,,white,1.0,synthetic-00245
-9.7,1404,1358,14,opening,600+0,rapid,,,,white,0.5,synthetic-00246
-385.1,1756,1772,41,middlegame,600+0,rapid,,,,white,0.0,synthetic-00247
52.9,851,849,20,opening,600+0,rapid,,,,white,0.5,synthetic-00248
-87.4,1611,1686,44,middlegame,600+0,rapid,,,,white,0.0,synthetic-00249
-314.6,2488,2568,28,middlegame,600+0,rapid,,,,white,0.0,synthetic-00250
512.1,1148,1081,39,middlegame,600+0,rapid,,,,white,1.0,synthetic-00251
-25.9,2532,2463,58,middlegame,600+0,rapid,,,,white,0.0,synthetic-00252
48.4,859,900,29,middlegame,600+0,rapid,,,,white,1.0,synthetic-00253
134.9,2527,2551,80,endgame,600+0,rapid,,,,white,1.0,synthetic-00254
223.7,1054,1043,8,opening,600+0,rapid,,,,white,1.0,synthetic-00255
66.8,2054,2019,49,middlegame,600+0,rapid,,,,white,1.0,synthetic-00256
125.2,1681,1755,22,middlegame,600+0,rapid,,,,white,0.5,synthetic-00257
251.3,1803,1860,61,endgame,600+0,rapid,,,,white,0.5,synthetic-00258
360.7,1618,1552,39,middlegame,600+0,rapid,,,,white,1.0,synthetic-00259
52.6,2450,2471,80,endgame,600+0,rapid,,,,white,1.0,synthetic-00260
247.3,2023,1948,63,endgame,600+0,rapid,,,,white,1.0,synthetic-00261
160.2,1233,1252,16,opening,600+0,rapid,,,,white,1.0,synthetic-00262
-93.0,2344,2264,55,middlegame,600+0,rapid,,,,white,0.0,synthetic-00263
94.6,1785,1768,49,middlegame,600+0,rapid,,,,white,1.0,synthetic-00264
-502.7,2352,2370,76,endgame,600+0,rapid,,,,white,0.0,synthetic-00265
-13.3,2344,2416,58,middlegame,600+0,rapid,,,,white,0.5,synthetic-00266
-56.7,1548,1611,67,endgame,600+0,rapid,,,,white,0.5,synthetic-00267
-283.2,1078,1103,44,middlegame,600+0,rapid,,,,white,0.0,synthetic-00268
177.0,2140,2202,26,middlegame,600+0,rapid,,,,white,1.0,synthetic-00269
-285.9,1953,1910,40,middlegame,600+0,rapid,,,,white,0.0,synthetic-00270
-305.4,1125,1112,13,opening,600+0,rapid,,,,white,0.5,synthetic-00271
-81.8,1318,1330,52,middlegame,600+0,rapid,,,,white,0.0,synthetic-00272
-180.3,1010,1073,11,opening,600+0,rapid,,,,white,0.5,synthetic-00273
349.5,1567,1583,62,endgame,600+0,rapid,,,,white,1.0,synthetic-00274
181.3,1785,1777,34,middlegame,600+0,rapid,,,,white,1.0,synthetic-00275
191.9,1058,1134,44,middlegame,600+0,rapid,,,,white,0.0,synthetic-00276
219.3,2076,2103,60,endgame,600+0,rapid,,,,white,1.0,synthetic-00277
191.5,2173,2211,76,endgame,600+0,rapid,,,,white,0.0,synthetic-00278
294.8,2084,2018,79,endgame,600+0,rapid,,,,white,0.0,synthetic-00279
230.4,1380,1319,73,endgame,600+0,rapid,,,,white,0.0,synthetic-00280
-10.7,1344,1358,20,opening,600+0,rapid,,,,white,0.5,synthetic-00281
336.2,2003,2058,74,endgame,600+0,rapid,,,,white,1.0,synthetic-00282
10.4,1015,970,73,endgame,600+0,rapid,,,,white,0.5,synthetic-00283
-182.8,1015,985,9,opening,600+0,rapid,,,,white,0.0,synthetic-00284
-159.7,997,1019,48,middlegame,600+0,rapid,,,,white,0.0,synthetic-00285
-165.1,991,998,37,middlegame,600+0,rapid,,,,white,0.5,synthetic-00286
-96.6,2466,2456,17,opening,600+0,rapid,,,,white,0.0,synthetic-00287
43.1,2206,2204,29,middlegame,600+0,rapid,,,,white,0.5,synthetic-00288
-37.5,2383,2380,34,middlegame,600+0,rapid,,,,white,0.0,synthetic-00289
-29.5,1603,1574,29,middlegame,600+0,rapid,,,,white,0.0,synthetic-00290
331.4,2399,2388,19,opening,600+0,rapid,,,,white,1.0,synthetic-00291
53.9,1952,1967,21,middlegame,600+0,rapid,,,,white,1.0,synthetic-00292
505.4,1284,1283,58,middlegame,600+0,rapid,,,,white,1.0,synthetic-00293
-142.5,1625,1676,26,middlegame,600+0,rapid,,,,white,0.0,synthetic-00294
-37.6,1659,1585,80,endgame,600+0,rapid,,,,white,0.5,synthetic-00295
-17.6,2520,2511,26,middlegame,600+0,rapid,,,,white,1.0,synthetic-00296
179.7,1415,1480,15,opening,600+0,rapid,,,,white,0.5,synthetic-00297
-27.7,2252,2310,79,endgame,600+0,rapid,,,,white,0.0,synthetic-00298
-10.7,2068,2051,21,middlegame,600+0,rapid,,,,white,0.0,synthetic-00299
161.7,2481,2471,8,opening,600+0,rapid,,,,white,1.0,synthetic-00300
-162.3,1235,1235,43,middlegame,600+0,rapid,,,,white,0.0,synthetic-00301
281.7,1204,1205,17,opening,600+0,rapid,,,,white,1.0,synthetic-00302
-97.6,1342,1355,56,middlegame,600+0,rapid,,,,white,0.0,synthetic-00303
-39.3,2321,2378,53,middlegame,600+0,rapid,,,,white,0.0,synthetic-00304
162.0,1318,1300,23,middlegame,600+0,rapid,,,,white,0.0,synthetic-00305
-359.3,1522,1522,53,middlegame,600+0,rapid,,,,white,0.0,synthetic-00306
66.3,1566,1589,44,middlegame,600+0,rapid,,,,white,1.0,synthetic-00307
-69.8,2358,2361,39,middlegame,600+0,rapid,,,,white,0.5,synthetic-00308
262.6,2172,2104,37,middlegame,600+0,rapid,,,,white,1.0,synthetic-00309
-229.7,989,1007,80,endgame,600+0,rapid,,,,white,0.0,synthetic-00310
193.2,2269,2314,47,middlegame,600+0,rapid,,,,white,1.0,synthetic-00311
-44.3,1661,1691,37,middlegame,600+0,rapid,,,,white,0.5,synthetic-00312
-100.4,2272,2283,13,opening,600+0,rapid,,,,white,1.0,synthetic-00313
-24.1,1513,1551,54,middlegame,600+0,rapid,,,,white,1.0,synthetic-00314
-154.9,887,815,76,endgame,600+0,rapid,,,,white,1.0,synthetic-00315
-462.6,777,839,67,endgame,600+0,rapid,,,,white,0.5,synthetic-00316
-357.2,1116,1196,61,endgame,600+0,rapid,,,,white,0.0,synthetic-00317
56.5,894,946,8,opening,600+0,rapid,,,,white,0.5,synthetic-00318
571.2,1575,1594,42,middlegame,600+0,rapid,,,,white,1.0,synthetic-00319
-152.6,839,864,25,middlegame,600+0,rapid,,,,white,0.5,synthetic-00320
167.8,1840,1905,21,middlegame,600+0,rapid,,,,white,0.0,synthetic-00321
-266.0,1307,1276,48,middlegame,600+0,rapid,,,,white,0.0,synthetic-00322
-252.4,1164,1162,21,middlegame,600+0,rapid,,,,white,1.0,synthetic-00323
-272.0,2046,2050,78,endgame,600+0,rapid,,,,white,0.5,synthetic-00324
-15.4,1405,1418,80,endgame,600+0,rapid,,,,white,0.5,synthetic-00325
179.6,1735,1684,60,endgame,600+0,rapid,,,,white,1.0,synthetic-00326
-208.2,861,825,59,middlegame,600+0,rapid,,,,white,1.0,synthetic-00327
30.2,2547,2503,26,middlegame,600+0,rapid,,,,white,0.5,synthetic-00328
183.2,1194,1228,27,middlegame,600+0,rapid,,,,white,0.5,synthetic-00329
180.0,2546,2542,23,middlegame,600+0,rapid,,,,white,1.0,synthetic-00330
110.4,2476,2531,28,middlegame,600+0,rapid,,,,white,1.0,synthetic-00331
-112.8,2176,2181,58,middlegame,600+0,rapid,,,,white,0.5,synthetic-00332
